,age_range,sex,city,use_of_HS,frequency_of_use,reasons_no_usage,reasons_usage,km_to_use,use_if_direct_connection?,reason_if_direct_connection,chosen_train_operator,cheapest_operator,most_reliable_operator,price_evaluation,puntuality_evaluation,comfort_evaluation,frecuency_evaluation,restaurant_evaluation,customer_service_evaluation,flexible_tickets_evaluation,desired_improvements,pay_more?,HS_rating,Reducción de precios,Más conexiones y destinos nacionales,Más conexiones y destinos con Europa,Mayor puntualidad,Mayor comodidad,Mejor atención al cliente,Bonos o tarjetas de viajero frecuente,Servicios nocturnos,comunidad_autonoma,No hay buenas conexiones con mis destinos,Prefiero otros medios de transporte,No lo necesito,Demasiado caro
0,25-34,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,100,Sí,Comodidad,No tengo preferencia,Ouigo,Ouigo,5,5,3,4,1,4,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad;Mayor comodidad;Mejor atención al cliente;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,Sí,3,1,1,1,1,1,1,1,1,Basque Country,1,0,0,0
1,25-34,Hombre,Alonsotegi,No,Nunca,No hay buenas conexiones con mis destinos,,0,Sí,por que es de alta velocidad,No tengo preferencia,Ouigo,Renfe,5,5,5,5,1,5,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad;Mayor comodidad;Mejor atención al cliente;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,No,3,1,1,1,1,1,1,1,1,Basque Country,1,0,0,0
2,18-24,Hombre,Bilbao,No,Nunca,Prefiero otros medios de transporte;No lo necesito,,0,Sí,,No tengo preferencia,Ouigo,Iryo,4,5,4,2,1,2,3,Reducción de precios;Más conexiones y destinos nacionales;Mayor puntualidad,Sí,3,1,1,0,1,0,0,0,0,Basque Country,0,1,1,0
3,25-34,Hombre,Bilbao,No,Nunca,No hay buenas conexiones con mis destinos,,300,Sí,Comodidad,No tengo preferencia,Iryo,Renfe,4,4,4,4,1,3,1,Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,Sí,3,0,1,0,0,0,0,1,1,Basque Country,1,0,0,0
4,35-44,Mujer,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,200,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,4,5,4,3,1,3,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor comodidad,Sí,3,1,1,1,0,1,0,0,0,Basque Country,1,0,0,0
5,25-34,Mujer,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,300,Sí,Comodidad y rapidez,Renfe,Ouigo,Renfe,5,4,3,5,1,4,5,Reducción de precios;Más conexiones y destinos nacionales,No,2,1,1,0,0,0,0,0,0,Basque Country,1,0,0,0
6,25-34,Hombre,Bilbao,Sí,Menos de una vez al año,Demasiado caro;No hay buenas conexiones con mis destinos,Ocio,400,Sí,Rapidez,No tengo preferencia,Ouigo,Renfe,5,4,4,3,2,4,5,Reducción de precios;Más conexiones y destinos nacionales;Servicios nocturnos,Sí,4,1,1,0,0,0,0,0,1,Basque Country,1,0,0,1
7,45-54,Mujer,Getxo,No,Nunca,No hay buenas conexiones con mis destinos,,200,Sí,Comodidad y rapidez,No tengo preferencia,Ouigo,Renfe,5,5,5,4,3,5,4,Reducción de precios;Más conexiones y destinos nacionales;Mejor atención al cliente;Servicios nocturnos,No,4,1,1,0,0,0,1,0,1,Basque Country,1,0,0,0
8,25-34,Mujer,Sevilla,Sí,Menos de una vez al año,No lo necesito,Ocio,300,Sí,Comodidad y rapidez,No tengo preferencia,Iryo,Renfe,5,5,4,3,1,1,4,Reducción de precios;Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,No,3,1,1,0,0,0,0,1,0,Andalusia,0,0,1,0
9,35-44,Hombre,Bilbao,Sí,1-3 veces al año,No hay buenas conexiones con mis destinos,Ocio,0,Sí,,No tengo preferencia,Ouigo,Iryo,4,5,2,3,1,3,2,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,No,4,0,1,1,0,0,0,0,0,Basque Country,1,0,0,0
10,25-34,Hombre,Zaldibar,No,Nunca,No hay buenas conexiones con mis destinos,,200,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,5,4,3,2,1,3,5,Reducción de precios;Mayor puntualidad;Mayor comodidad;Mejor atención al cliente;Servicios nocturnos,Sí,3,1,0,0,1,1,1,0,1,Basque Country,1,0,0,0
11,25-34,Hombre,Bilbao,Sí,Menos de una vez al año,Demasiado caro,Ocio,200,Sí,"porque tardaria menos tiempo , y valdria menos",No tengo preferencia,Ouigo,Ouigo,5,4,3,3,1,3,3,Reducción de precios;Más conexiones y destinos nacionales;Servicios nocturnos,Sí,3,1,1,0,0,0,0,0,1,Basque Country,0,0,0,1
12,25-34,Prefiero no decirlo,Getxo,Sí,Nunca,No hay buenas conexiones con mis destinos,,0,Sí,"por comodidas y seguridad, me da miedo viajar en avion",No tengo preferencia,Ouigo,Renfe,5,4,4,4,2,5,5,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,No,3,0,1,1,0,0,0,0,0,Basque Country,1,0,0,0
13,25-34,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,250,Sí,,No tengo preferencia,Ouigo,Renfe,4,5,4,4,1,4,1,Reducción de precios;Más conexiones y destinos nacionales,Sí,2,1,1,0,0,0,0,0,0,Basque Country,1,0,0,0
14,18-24,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,,0,Sí,,No tengo preferencia,Iryo,Renfe,5,5,4,5,1,3,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Servicios nocturnos,Sí,2,1,1,1,0,0,0,0,1,Basque Country,1,0,0,0
15,25-34,Mujer,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,200,No,alto precio,No tengo preferencia,Ouigo,Renfe,3,4,4,4,1,4,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,No,3,1,1,1,0,0,0,1,1,Basque Country,1,0,0,0
16,25-34,Hombre,Orduna,No,Nunca,No lo necesito,,0,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,5,4,2,5,1,4,5,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,Sí,2,0,1,1,0,0,0,0,0,Basque Country,0,0,1,0
17,25-34,Mujer,Sestao,No,Nunca,No lo necesito,Ocio,250,Sí,Comodidad,Iryo,Iryo,Iryo,5,5,4,5,4,4,4,Reducción de precios;Más conexiones y destinos nacionales,No,3,1,1,0,0,0,0,0,0,Basque Country,0,0,1,0
